가해운전자 차종별 ,사고년도,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
가해운전자 차종별 ,사고년도,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
사륜오토바이(ATV),부상자수,331 ,18 ,22 ,26 ,32 ,32 ,30 ,28 ,33 ,30 ,29 ,23 ,28 ,343 ,27 ,24 ,26 ,21 ,33 ,34 ,24 ,33 ,29 ,41 ,32 ,19 
원동기장치자전거,사고건수,2113 ,151 ,138 ,129 ,152 ,199 ,187 ,178 ,233 ,202 ,215 ,153 ,176 ,2674 ,128 ,156 ,170 ,192 ,257 ,239 ,260 ,253 ,256 ,267 ,250 ,246 
원동기장치자전거,사망자수,40 ,2 ,1 ,3 ,3 ,6 ,4 ,4 ,4 ,3 ,4 ,3 ,3 ,56 ,8 ,2 ,1 ,1 ,4 ,7 ,4 ,5 ,9 ,7 ,5 ,3 
원동기장치자전거,부상자수,2599 ,184 ,173 ,164 ,189 ,247 ,237 ,218 ,284 ,251 ,261 ,182 ,209 ,3332 ,160 ,192 ,221 ,230 ,329 ,312 ,334 ,313 ,314 ,319 ,309 ,299 
자전거,사고건수,5633 ,257 ,202 ,363 ,470 ,614 ,663 ,598 ,551 ,556 ,641 ,454 ,264 ,5667 ,275 ,243 ,366 ,505 ,620 ,647 ,620 ,417 ,658 ,635 ,413 ,268 
자전거,사망자수,79 ,7 ,1 ,2 ,7 ,6 ,13 ,9 ,11 ,9 ,5 ,6 ,3 ,83 ,4 ,2 ,6 ,6 ,8 ,6 ,9 ,9 ,13 ,6 ,8 ,6 
자전거,부상자수,6020 ,263 ,215 ,384 ,510 ,651 ,719 ,648 ,590 ,584 ,692 ,479 ,285 ,6150 ,284 ,259 ,398 ,553 ,687 ,717 ,681 ,451 ,718 ,685 ,437 ,280 
개인형이동수단(PM),사고건수,447 ,10 ,13 ,14 ,19 ,48 ,40 ,47 ,61 ,44 ,60 ,51 ,40 ,897 ,22 ,36 ,31 ,56 ,67 ,63 ,98 ,86 ,109 ,163 ,110 ,56 
개인형이동수단(PM),사망자수,8 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0 ,2 ,1 ,0 ,1 ,10 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,4 ,2 ,0 
개인형이동수단(PM),부상자수,473 ,10 ,13 ,15 ,19 ,49 ,44 ,48 ,67 ,50 ,65 ,54 ,39 ,985 ,27 ,36 ,36 ,63 ,77 ,68 ,103 ,96 ,120 ,184 ,116 ,59 
건설기계,사고건수,2542 ,164 ,142 ,201 ,217 ,235 ,205 ,199 ,216 ,172 ,246 ,295 ,250 ,2438 ,150 ,159 ,183 ,204 ,229 ,245 ,142 ,152 ,215 ,284 ,249 ,226 
건설기계,사망자수,84 ,12 ,3 ,2 ,7 ,9 ,10 ,6 ,7 ,6 ,10 ,9 ,3 ,77 ,6 ,3 ,5 ,3 ,6 ,4 ,9 ,3 ,13 ,11 ,7 ,7 
건설기계,부상자수,3803 ,232 ,211 ,303 ,327 ,345 ,320 ,297 ,328 ,257 ,375 ,413 ,395 ,3530 ,204 ,214 ,259 ,319 ,351 ,345 ,198 ,250 ,304 ,418 ,342 ,326 
농기계,사고건수,444 ,11 ,20 ,31 ,42 ,71 ,51 ,26 ,53 ,37 ,51 ,38 ,13 ,367 ,18 ,8 ,27 ,25 ,48 ,30 ,25 ,34 ,33 ,65 ,37 ,17 
농기계,사망자수,57 ,3 ,3 ,6 ,6 ,8 ,8 ,3 ,0 ,5 ,7 ,4 ,4 ,49 ,5 ,2 ,4 ,2 ,6 ,3 ,2 ,6 ,3 ,9 ,4 ,3 
농기계,부상자수,511 ,21 ,21 ,26 ,43 ,88 ,62 ,27 ,76 ,40 ,52 ,43 ,12 ,417 ,16 ,7 ,30 ,28 ,51 ,37 ,31 ,32 ,37 ,80 ,48 ,20 
기타,사고건수,203 ,11 ,9 ,13 ,19 ,15 ,22 ,14 ,10 ,16 ,29 ,24 ,21 ,219 ,19 ,12 ,13 ,14 ,17 ,28 ,16 ,16 ,17 ,32 ,25 ,10 
기타,사망자수,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 
기타,부상자수,226 ,13 ,9 ,15 ,19 ,20 ,27 ,19 ,12 ,19 ,29 ,24 ,20 ,247 ,19 ,12 ,14 ,21 ,21 ,35 ,19 ,16 ,17 ,34 ,27 ,12 
불명,사고건수,3836 ,291 ,253 ,300 ,286 ,344 ,268 ,315 ,301 ,345 ,369 ,405 ,359 ,3227 ,291 ,280 ,221 ,228 ,288 ,263 ,272 ,247 ,274 ,292 ,295 ,276 
불명,사망자수,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
불명,부상자수,4238 ,316 ,298 ,339 ,313 ,372 ,278 ,335 ,346 ,380 ,409 ,454 ,398 ,3551 ,339 ,317 ,258 ,253 ,316 ,290 ,289 ,265 ,296 ,316 ,316 ,296 
출처) 도로교통공단.,,,,,,,,,,,,,,,,,,,,,,,,,,,
