연도,월,업종,시도,군구,거리,건수
2019,7,카페/디저트,강원도,삼척시,1500m이하,1
2019,7,카페/디저트,강원도,삼척시,1500m초과 3000m이하,1
2019,7,돈까스/일식,강원도,속초시,1500m이하,137
2019,7,돈까스/일식,강원도,속초시,1500m초과 3000m이하,120
2019,7,돈까스/일식,강원도,속초시,3000m초과 5000m이하,5
2019,7,돈까스/일식,강원도,속초시,5000m초과,1
2019,7,분식,강원도,속초시,1500m이하,646
2019,7,분식,강원도,속초시,1500m초과 3000m이하,917
2019,7,분식,강원도,속초시,3000m초과 5000m이하,53
2019,7,분식,강원도,속초시,5000m초과,16
2019,7,아시안/양식,강원도,속초시,1500m이하,149
2019,7,아시안/양식,강원도,속초시,1500m초과 3000m이하,63
2019,7,아시안/양식,강원도,속초시,3000m초과 5000m이하,1
2019,7,족발/보쌈,강원도,속초시,1500m이하,23
2019,7,족발/보쌈,강원도,속초시,1500m초과 3000m이하,18
2019,7,족발/보쌈,강원도,속초시,3000m초과 5000m이하,4
2019,7,중식,강원도,속초시,1500m이하,105
2019,7,중식,강원도,속초시,1500m초과 3000m이하,71
2019,7,중식,강원도,속초시,3000m초과 5000m이하,22
2019,7,찜탕,강원도,속초시,1500m이하,26
2019,7,찜탕,강원도,속초시,1500m초과 3000m이하,27
2019,7,치킨,강원도,속초시,1500m이하,1141
2019,7,치킨,강원도,속초시,1500m초과 3000m이하,611
2019,7,치킨,강원도,속초시,3000m초과 5000m이하,69
2019,7,치킨,강원도,속초시,5000m초과,11
2019,7,분식,강원도,원주시,1500m이하,1
2019,7,분식,강원도,원주시,1500m초과 3000m이하,1
2019,7,카페/디저트,강원도,원주시,1500m이하,1106
2019,7,카페/디저트,강원도,원주시,1500m초과 3000m이하,370
2019,7,카페/디저트,강원도,원주시,3000m초과 5000m이하,6
2019,7,카페/디저트,강원도,원주시,5000m초과,1
2019,7,도시락,경기도,고양시 일산동구,1500m이하,219
2019,7,도시락,경기도,고양시 일산동구,1500m초과 3000m이하,61
2019,7,도시락,경기도,고양시 일산동구,3000m초과 5000m이하,33
2019,7,도시락,경기도,고양시 일산동구,5000m초과,2
2019,7,돈까스/일식,경기도,고양시 일산동구,1500m이하,310
2019,7,돈까스/일식,경기도,고양시 일산동구,1500m초과 3000m이하,216
2019,7,돈까스/일식,경기도,고양시 일산동구,3000m초과 5000m이하,46
2019,7,배달전문업체,경기도,고양시 일산동구,1500m이하,215
2019,7,배달전문업체,경기도,고양시 일산동구,1500m초과 3000m이하,329
2019,7,배달전문업체,경기도,고양시 일산동구,3000m초과 5000m이하,95
2019,7,배달전문업체,경기도,고양시 일산동구,5000m초과,2
2019,7,분식,경기도,고양시 일산동구,1500m이하,1798
2019,7,분식,경기도,고양시 일산동구,1500m초과 3000m이하,631
2019,7,분식,경기도,고양시 일산동구,3000m초과 5000m이하,155
2019,7,분식,경기도,고양시 일산동구,5000m초과,34
2019,7,아시안/양식,경기도,고양시 일산동구,1500m이하,38
2019,7,아시안/양식,경기도,고양시 일산동구,1500m초과 3000m이하,4
2019,7,아시안/양식,경기도,고양시 일산동구,3000m초과 5000m이하,1
