연도,월,업종,시도,군구,거리,건수
2020,7,카페/디저트,강원도,강릉시,1500m이하,97
2020,7,카페/디저트,강원도,강릉시,1500m초과 3000m이하,65
2020,7,카페/디저트,강원도,삼척시,1500m이하,91
2020,7,카페/디저트,강원도,삼척시,1500m초과 3000m이하,3
2020,7,카페/디저트,강원도,원주시,1500m이하,1814
2020,7,카페/디저트,강원도,원주시,1500m초과 3000m이하,539
2020,7,카페/디저트,강원도,원주시,3000m초과 5000m이하,26
2020,7,카페/디저트,강원도,원주시,5000m초과,9
2020,7,돈까스/일식,경기도,고양시 덕양구,1500m이하,1845
2020,7,돈까스/일식,경기도,고양시 덕양구,1500m초과 3000m이하,901
2020,7,돈까스/일식,경기도,고양시 덕양구,3000m초과 5000m이하,125
2020,7,배달전문업체,경기도,고양시 덕양구,1500m이하,69
2020,7,배달전문업체,경기도,고양시 덕양구,1500m초과 3000m이하,109
2020,7,분식,경기도,고양시 덕양구,1500m이하,5673
2020,7,분식,경기도,고양시 덕양구,1500m초과 3000m이하,2042
2020,7,분식,경기도,고양시 덕양구,3000m초과 5000m이하,133
2020,7,분식,경기도,고양시 덕양구,5000m초과,1
2020,7,심부름,경기도,고양시 덕양구,1500m이하,1
2020,7,아시안/양식,경기도,고양시 덕양구,1500m이하,1191
2020,7,아시안/양식,경기도,고양시 덕양구,1500m초과 3000m이하,700
2020,7,아시안/양식,경기도,고양시 덕양구,3000m초과 5000m이하,217
2020,7,아시안/양식,경기도,고양시 덕양구,5000m초과,47
2020,7,야식,경기도,고양시 덕양구,1500m이하,1489
2020,7,야식,경기도,고양시 덕양구,1500m초과 3000m이하,1046
2020,7,야식,경기도,고양시 덕양구,3000m초과 5000m이하,158
2020,7,야식,경기도,고양시 덕양구,5000m초과,3
2020,7,족발/보쌈,경기도,고양시 덕양구,1500m이하,2077
2020,7,족발/보쌈,경기도,고양시 덕양구,1500m초과 3000m이하,948
2020,7,족발/보쌈,경기도,고양시 덕양구,3000m초과 5000m이하,129
2020,7,족발/보쌈,경기도,고양시 덕양구,5000m초과,9
2020,7,중식,경기도,고양시 덕양구,1500m이하,1068
2020,7,중식,경기도,고양시 덕양구,1500m초과 3000m이하,583
2020,7,중식,경기도,고양시 덕양구,3000m초과 5000m이하,74
2020,7,중식,경기도,고양시 덕양구,5000m초과,11
2020,7,찜탕,경기도,고양시 덕양구,1500m이하,773
2020,7,찜탕,경기도,고양시 덕양구,1500m초과 3000m이하,386
