연도,월,업종,시도,군구,거리,건수
2020,1,카페/디저트,강원도,강릉시,1500m이하,109
2020,1,카페/디저트,강원도,강릉시,1500m초과 3000m이하,79
2020,1,카페/디저트,강원도,삼척시,1500m이하,74
2020,1,카페/디저트,강원도,삼척시,1500m초과 3000m이하,8
2020,1,카페/디저트,강원도,원주시,1500m이하,1354
2020,1,카페/디저트,강원도,원주시,1500m초과 3000m이하,372
2020,1,카페/디저트,강원도,원주시,3000m초과 5000m이하,8
2020,1,카페/디저트,강원도,원주시,5000m초과,3
2020,1,도시락,경기도,고양시 덕양구,1500m이하,329
2020,1,도시락,경기도,고양시 덕양구,1500m초과 3000m이하,504
2020,1,도시락,경기도,고양시 덕양구,3000m초과 5000m이하,2
2020,1,돈까스/일식,경기도,고양시 덕양구,1500m이하,1307
2020,1,돈까스/일식,경기도,고양시 덕양구,1500m초과 3000m이하,793
2020,1,돈까스/일식,경기도,고양시 덕양구,3000m초과 5000m이하,55
2020,1,돈까스/일식,경기도,고양시 덕양구,5000m초과,1
2020,1,배달전문업체,경기도,고양시 덕양구,1500m이하,84
2020,1,배달전문업체,경기도,고양시 덕양구,1500m초과 3000m이하,74
2020,1,배달전문업체,경기도,고양시 덕양구,3000m초과 5000m이하,7
2020,1,분식,경기도,고양시 덕양구,1500m이하,3703
2020,1,분식,경기도,고양시 덕양구,1500m초과 3000m이하,2140
2020,1,분식,경기도,고양시 덕양구,3000m초과 5000m이하,228
2020,1,분식,경기도,고양시 덕양구,5000m초과,1
2020,1,아시안/양식,경기도,고양시 덕양구,1500m이하,565
2020,1,아시안/양식,경기도,고양시 덕양구,1500m초과 3000m이하,250
2020,1,아시안/양식,경기도,고양시 덕양구,3000m초과 5000m이하,210
2020,1,아시안/양식,경기도,고양시 덕양구,5000m초과,49
2020,1,야식,경기도,고양시 덕양구,1500m이하,1216
2020,1,야식,경기도,고양시 덕양구,1500m초과 3000m이하,770
2020,1,야식,경기도,고양시 덕양구,3000m초과 5000m이하,117
2020,1,야식,경기도,고양시 덕양구,5000m초과,2
2020,1,족발/보쌈,경기도,고양시 덕양구,1500m이하,1920
2020,1,족발/보쌈,경기도,고양시 덕양구,1500m초과 3000m이하,1019
2020,1,족발/보쌈,경기도,고양시 덕양구,3000m초과 5000m이하,280
2020,1,족발/보쌈,경기도,고양시 덕양구,5000m초과,1
2020,1,중식,경기도,고양시 덕양구,1500m이하,830
2020,1,중식,경기도,고양시 덕양구,1500m초과 3000m이하,466
2020,1,중식,경기도,고양시 덕양구,3000m초과 5000m이하,41
2020,1,중식,경기도,고양시 덕양구,5000m초과,5
2020,1,찜탕,경기도,고양시 덕양구,1500m이하,263
2020,1,찜탕,경기도,고양시 덕양구,1500m초과 3000m이하,152
2020,1,찜탕,경기도,고양시 덕양구,3000m초과 5000m이하,11
2020,1,치킨,경기도,고양시 덕양구,1500m이하,7903
2020,1,치킨,경기도,고양시 덕양구,1500m초과 3000m이하,2594
2020,1,치킨,경기도,고양시 덕양구,3000m초과 5000m이하,378
2020,1,치킨,경기도,고양시 덕양구,5000m초과,6
2020,1,카페/디저트,경기도,고양시 덕양구,1500m이하,153
2020,1,카페/디저트,경기도,고양시 덕양구,1500m초과 3000m이하,106
2020,1,카페/디저트,경기도,고양시 덕양구,3000m초과 5000m이하,26
2020,1,카페/디저트,경기도,고양시 덕양구,5000m초과,2
2020,1,패스트푸드,경기도,고양시 덕양구,1500m이하,3454
2020,1,패스트푸드,경기도,고양시 덕양구,1500m초과 3000m이하,440
2020,1,패스트푸드,경기도,고양시 덕양구,3000m초과 5000m이하,113
2020,1,패스트푸드,경기도,고양시 덕양구,5000m초과,1
2020,1,피자,경기도,고양시 덕양구,1500m이하,1777
2020,1,피자,경기도,고양시 덕양구,1500m초과 3000m이하,382
2020,1,피자,경기도,고양시 덕양구,3000m초과 5000m이하,50
2020,1,피자,경기도,고양시 덕양구,5000m초과,8
2020,1,한식,경기도,고양시 덕양구,1500m이하,3404
