,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.06,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,453416 ,20306 ,145178 ,255988 ,31944 ,4511 ,302 ,924 ,3133 ,152 ,448905 ,20004 ,144254 ,252855 ,31792 
부산,134768 ,6367 ,37149 ,83490 ,7762 ,1439 ,154 ,151 ,1093 ,41 ,133329 ,6213 ,36998 ,82397 ,7721 
대구,135370 ,10238 ,58177 ,60938 ,6017 ,1246 ,185 ,198 ,829 ,34 ,134124 ,10053 ,57979 ,60109 ,5983 
인천,77697 ,4011 ,29400 ,38654 ,5632 ,1006 ,13 ,190 ,768 ,35 ,76691 ,3998 ,29210 ,37886 ,5597 
광주,40506 ,2036 ,15879 ,20537 ,2054 ,488 ,21 ,46 ,411 ,10 ,40018 ,2015 ,15833 ,20126 ,2044 
대전,38818 ,3623 ,11410 ,20680 ,3105 ,479 ,33 ,68 ,366 ,12 ,38339 ,3590 ,11342 ,20314 ,3093 
울산,64138 ,3705 ,11988 ,45452 ,2993 ,500 ,104 ,48 ,338 ,10 ,63638 ,3601 ,11940 ,45114 ,2983 
세종,11465 ,809 ,5250 ,4771 ,635 ,122 ,8 ,11 ,99 ,4 ,11343 ,801 ,5239 ,4672 ,631 
경기,407114 ,19189 ,152001 ,204404 ,31520 ,4896 ,163 ,1002 ,3618 ,113 ,402218 ,19026 ,150999 ,200786 ,31407 
강원,66458 ,5736 ,24404 ,32781 ,3537 ,974 ,55 ,51 ,832 ,36 ,65484 ,5681 ,24353 ,31949 ,3501 
충북,92172 ,7273 ,40593 ,40462 ,3844 ,1190 ,74 ,269 ,811 ,36 ,90982 ,7199 ,40324 ,39651 ,3808 
충남,136423 ,9562 ,64744 ,56921 ,5196 ,1757 ,182 ,414 ,1127 ,34 ,134666 ,9380 ,64330 ,55794 ,5162 
전북,100831 ,7344 ,50103 ,40438 ,2946 ,1375 ,93 ,302 ,956 ,24 ,99456 ,7251 ,49801 ,39482 ,2922 
전남,118938 ,7777 ,59150 ,48999 ,3012 ,2038 ,128 ,597 ,1277 ,36 ,116900 ,7649 ,58553 ,47722 ,2976 
경북,188985 ,15819 ,86102 ,81046 ,6018 ,2080 ,88 ,503 ,1433 ,56 ,186905 ,15731 ,85599 ,79613 ,5962 
경남,164918 ,11805 ,58938 ,86959 ,7216 ,2148 ,147 ,407 ,1559 ,35 ,162770 ,11658 ,58531 ,85400 ,7181 
제주,32933 ,7016 ,10502 ,13930 ,1485 ,505 ,132 ,76 ,274 ,23 ,32428 ,6884 ,10426 ,13656 ,1462 
합계,2264950 ,142616 ,860968 ,1136450 ,124916 ,26754 ,1882 ,5257 ,18924 ,691 ,2238196 ,140734 ,855711 ,1117526 ,124225 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,259,482대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  5,468대",,,,,,,,,,,,,,,
