,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.03,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,449660 ,19622 ,146174 ,253173 ,30691 ,4560 ,362 ,935 ,3110 ,153 ,445100 ,19260 ,145239 ,250063 ,30538 
부산,133074 ,5809 ,37331 ,82618 ,7316 ,1419 ,98 ,178 ,1100 ,43 ,131655 ,5711 ,37153 ,81518 ,7273 
대구,133929 ,9886 ,58322 ,60004 ,5717 ,1236 ,169 ,204 ,828 ,35 ,132693 ,9717 ,58118 ,59176 ,5682 
인천,76421 ,3678 ,29353 ,38136 ,5254 ,1010 ,13 ,187 ,775 ,35 ,75411 ,3665 ,29166 ,37361 ,5219 
광주,40145 ,2025 ,15871 ,20323 ,1926 ,504 ,21 ,46 ,427 ,10 ,39641 ,2004 ,15825 ,19896 ,1916 
대전,38314 ,3447 ,11442 ,20487 ,2938 ,486 ,36 ,67 ,369 ,14 ,37828 ,3411 ,11375 ,20118 ,2924 
울산,63688 ,3689 ,12024 ,45199 ,2776 ,495 ,102 ,48 ,335 ,10 ,63193 ,3587 ,11976 ,44864 ,2766 
세종,11489 ,849 ,5284 ,4747 ,609 ,150 ,8 ,11 ,125 ,6 ,11339 ,841 ,5273 ,4622 ,603 
경기,399844 ,18878 ,151708 ,199879 ,29379 ,4912 ,172 ,1003 ,3626 ,111 ,394932 ,18706 ,150705 ,196253 ,29268 
강원,65863 ,5784 ,24315 ,32469 ,3295 ,981 ,53 ,51 ,843 ,34 ,64882 ,5731 ,24264 ,31626 ,3261 
충북,91788 ,7428 ,40570 ,40223 ,3567 ,1191 ,72 ,268 ,816 ,35 ,90597 ,7356 ,40302 ,39407 ,3532 
충남,135674 ,9669 ,64650 ,56460 ,4895 ,1768 ,183 ,408 ,1142 ,35 ,133906 ,9486 ,64242 ,55318 ,4860 
전북,100896 ,7523 ,50157 ,40412 ,2804 ,1378 ,89 ,302 ,964 ,23 ,99518 ,7434 ,49855 ,39448 ,2781 
전남,118666 ,7719 ,59164 ,48954 ,2829 ,2055 ,130 ,598 ,1291 ,36 ,116611 ,7589 ,58566 ,47663 ,2793 
경북,188687 ,16263 ,86046 ,80677 ,5701 ,2108 ,96 ,509 ,1446 ,57 ,186579 ,16167 ,85537 ,79231 ,5644 
경남,164395 ,12175 ,58997 ,86413 ,6810 ,2155 ,146 ,411 ,1563 ,35 ,162240 ,12029 ,58586 ,84850 ,6775 
제주,32759 ,7022 ,10491 ,13830 ,1416 ,510 ,133 ,77 ,277 ,23 ,32249 ,6889 ,10414 ,13553 ,1393 
합계,2245292 ,141466 ,861899 ,1124004 ,117923 ,26918 ,1883 ,5303 ,19037 ,695 ,2218374 ,139583 ,856596 ,1104967 ,117228 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,238,144대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  7,148대",,,,,,,,,,,,,,,
