,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.08,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,455459 ,20163 ,144814 ,257787 ,32695 ,4529 ,316 ,929 ,3130 ,154 ,450930 ,19847 ,143885 ,254657 ,32541 
부산,135354 ,6351 ,37093 ,83999 ,7911 ,1364 ,149 ,151 ,1023 ,41 ,133990 ,6202 ,36942 ,82976 ,7870 
대구,136064 ,10591 ,58133 ,61185 ,6155 ,1249 ,200 ,196 ,820 ,33 ,134815 ,10391 ,57937 ,60365 ,6122 
인천,78429 ,4088 ,29398 ,39145 ,5798 ,1007 ,13 ,190 ,770 ,34 ,77422 ,4075 ,29208 ,38375 ,5764 
광주,40790 ,2034 ,15902 ,20733 ,2121 ,492 ,22 ,46 ,414 ,10 ,40298 ,2012 ,15856 ,20319 ,2111 
대전,38931 ,3598 ,11397 ,20731 ,3205 ,472 ,33 ,67 ,361 ,11 ,38459 ,3565 ,11330 ,20370 ,3194 
울산,64327 ,3658 ,12003 ,45584 ,3082 ,493 ,99 ,48 ,336 ,10 ,63834 ,3559 ,11955 ,45248 ,3072 
세종,11531 ,794 ,5276 ,4796 ,665 ,122 ,8 ,11 ,99 ,4 ,11409 ,786 ,5265 ,4697 ,661 
경기,410682 ,18984 ,152235 ,206853 ,32610 ,4876 ,166 ,1001 ,3598 ,111 ,405806 ,18818 ,151234 ,203255 ,32499 
강원,66768 ,5672 ,24457 ,32901 ,3738 ,958 ,55 ,52 ,815 ,36 ,65810 ,5617 ,24405 ,32086 ,3702 
충북,92378 ,7130 ,40641 ,40601 ,4006 ,1194 ,73 ,269 ,817 ,35 ,91184 ,7057 ,40372 ,39784 ,3971 
충남,136686 ,9381 ,64768 ,57239 ,5298 ,1768 ,182 ,429 ,1125 ,32 ,134918 ,9199 ,64339 ,56114 ,5266 
전북,100628 ,7180 ,50053 ,40382 ,3013 ,1359 ,90 ,301 ,943 ,25 ,99269 ,7090 ,49752 ,39439 ,2988 
전남,119018 ,7720 ,59191 ,49039 ,3068 ,2052 ,130 ,599 ,1287 ,36 ,116966 ,7590 ,58592 ,47752 ,3032 
경북,188820 ,15488 ,86099 ,81003 ,6230 ,2070 ,84 ,503 ,1424 ,59 ,186750 ,15404 ,85596 ,79579 ,6171 
경남,165099 ,11543 ,58895 ,87206 ,7455 ,2136 ,146 ,408 ,1547 ,35 ,162963 ,11397 ,58487 ,85659 ,7420 
제주,33247 ,7105 ,10586 ,14033 ,1523 ,506 ,133 ,76 ,273 ,24 ,32741 ,6972 ,10510 ,13760 ,1499 
합계,2274211 ,141480 ,860941 ,1143217 ,128573 ,26647 ,1899 ,5276 ,18782 ,690 ,2247564 ,139581 ,855665 ,1124435 ,127883 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,270,122대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  4,089대",,,,,,,,,,,,,,,
