,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.12,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,459002 ,20003 ,144907 ,260786 ,33306 ,4554 ,329 ,942 ,3125 ,158 ,454448 ,19674 ,143965 ,257661 ,33148 
부산,136158 ,6197 ,36920 ,84750 ,8291 ,1376 ,144 ,149 ,1038 ,45 ,134782 ,6053 ,36771 ,83712 ,8246 
대구,137000 ,10429 ,57996 ,62190 ,6385 ,1212 ,173 ,202 ,803 ,34 ,135788 ,10256 ,57794 ,61387 ,6351 
인천,79420 ,3996 ,29465 ,40059 ,5900 ,1006 ,13 ,192 ,767 ,34 ,78414 ,3983 ,29273 ,39292 ,5866 
광주,40782 ,1974 ,15885 ,20761 ,2162 ,496 ,20 ,50 ,416 ,10 ,40286 ,1954 ,15835 ,20345 ,2152 
대전,39242 ,3605 ,11428 ,20900 ,3309 ,491 ,33 ,66 ,381 ,11 ,38751 ,3572 ,11362 ,20519 ,3298 
울산,64499 ,3635 ,12054 ,45559 ,3251 ,471 ,99 ,49 ,312 ,11 ,64028 ,3536 ,12005 ,45247 ,3240 
세종,11667 ,776 ,5323 ,4847 ,721 ,128 ,7 ,10 ,105 ,6 ,11539 ,769 ,5313 ,4742 ,715 
경기,417370 ,19455 ,153490 ,210862 ,33563 ,4891 ,172 ,1000 ,3595 ,124 ,412479 ,19283 ,152490 ,207267 ,33439 
강원,66937 ,5621 ,24548 ,32935 ,3833 ,955 ,55 ,55 ,808 ,37 ,65982 ,5566 ,24493 ,32127 ,3796 
충북,92408 ,6993 ,40721 ,40588 ,4106 ,1220 ,73 ,269 ,843 ,35 ,91188 ,6920 ,40452 ,39745 ,4071 
충남,136965 ,9184 ,64801 ,57567 ,5413 ,1816 ,194 ,448 ,1138 ,36 ,135149 ,8990 ,64353 ,56429 ,5377 
전북,100541 ,7029 ,49980 ,40478 ,3054 ,1355 ,90 ,303 ,935 ,27 ,99186 ,6939 ,49677 ,39543 ,3027 
전남,119183 ,7735 ,59264 ,48995 ,3189 ,2066 ,129 ,618 ,1279 ,40 ,117117 ,7606 ,58646 ,47716 ,3149 
경북,189150 ,15420 ,86281 ,80983 ,6466 ,2124 ,124 ,504 ,1436 ,60 ,187026 ,15296 ,85777 ,79547 ,6406 
경남,165512 ,11305 ,58936 ,87506 ,7765 ,2144 ,147 ,409 ,1552 ,36 ,163368 ,11158 ,58527 ,85954 ,7729 
제주,33173 ,6923 ,10642 ,14038 ,1570 ,505 ,139 ,76 ,266 ,24 ,32668 ,6784 ,10566 ,13772 ,1546 
합계,2289009 ,140280 ,862641 ,1153804 ,132284 ,26810 ,1941 ,5342 ,18799 ,728 ,2262199 ,138339 ,857299 ,1135005 ,131556 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,287,836대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  1,173대",,,,,,,,,,,,,,,
