,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.11,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,458605 ,20112 ,144660 ,260495 ,33338 ,4511 ,319 ,941 ,3095 ,156 ,454094 ,19793 ,143719 ,257400 ,33182 
부산,136172 ,6240 ,36953 ,84740 ,8239 ,1362 ,145 ,150 ,1022 ,45 ,134810 ,6095 ,36803 ,83718 ,8194 
대구,137168 ,10493 ,58061 ,62215 ,6399 ,1227 ,175 ,203 ,814 ,35 ,135941 ,10318 ,57858 ,61401 ,6364 
인천,79321 ,4009 ,29462 ,39933 ,5917 ,1007 ,13 ,193 ,767 ,34 ,78314 ,3996 ,29269 ,39166 ,5883 
광주,40846 ,1989 ,15901 ,20782 ,2174 ,488 ,21 ,50 ,407 ,10 ,40358 ,1968 ,15851 ,20375 ,2164 
대전,39209 ,3567 ,11423 ,20906 ,3313 ,474 ,33 ,67 ,363 ,11 ,38735 ,3534 ,11356 ,20543 ,3302 
울산,64524 ,3660 ,12036 ,45602 ,3226 ,492 ,99 ,49 ,333 ,11 ,64032 ,3561 ,11987 ,45269 ,3215 
세종,11629 ,779 ,5303 ,4826 ,721 ,120 ,8 ,10 ,96 ,6 ,11509 ,771 ,5293 ,4730 ,715 
경기,416198 ,19332 ,153090 ,210274 ,33502 ,4870 ,171 ,1001 ,3576 ,122 ,411328 ,19161 ,152089 ,206698 ,33380 
강원,66940 ,5611 ,24524 ,32959 ,3846 ,952 ,56 ,55 ,804 ,37 ,65988 ,5555 ,24469 ,32155 ,3809 
충북,92485 ,7039 ,40690 ,40632 ,4124 ,1186 ,73 ,269 ,809 ,35 ,91299 ,6966 ,40421 ,39823 ,4089 
충남,136923 ,9163 ,64785 ,57558 ,5417 ,1785 ,191 ,448 ,1110 ,36 ,135138 ,8972 ,64337 ,56448 ,5381 
전북,100605 ,7064 ,50003 ,40480 ,3058 ,1357 ,90 ,303 ,937 ,27 ,99248 ,6974 ,49700 ,39543 ,3031 
전남,119175 ,7714 ,59238 ,49042 ,3181 ,2051 ,129 ,619 ,1263 ,40 ,117124 ,7585 ,58619 ,47779 ,3141 
경북,189198 ,15491 ,86214 ,81037 ,6456 ,2103 ,115 ,502 ,1425 ,61 ,187095 ,15376 ,85712 ,79612 ,6395 
경남,165535 ,11394 ,58923 ,87490 ,7728 ,2130 ,149 ,409 ,1536 ,36 ,163405 ,11245 ,58514 ,85954 ,7692 
제주,33303 ,7027 ,10636 ,14071 ,1569 ,513 ,139 ,76 ,272 ,26 ,32790 ,6888 ,10560 ,13799 ,1543 
합계,2287836 ,140684 ,861902 ,1153042 ,132208 ,26628 ,1926 ,5345 ,18629 ,728 ,2261208 ,138758 ,856557 ,1134413 ,131480 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,287,659대",,,,,,,,,,,,,,,
※전월말 대비증감현황 :  177대,,,,,,,,,,,,,,,
