,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.02,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,448578 ,19570 ,146561 ,252247 ,30200 ,4529 ,309 ,933 ,3133 ,154 ,444049 ,19261 ,145628 ,249114 ,30046 
부산,132534 ,5708 ,37364 ,82295 ,7167 ,1427 ,100 ,179 ,1105 ,43 ,131107 ,5608 ,37185 ,81190 ,7124 
대구,133282 ,9870 ,58339 ,59493 ,5580 ,1238 ,171 ,200 ,832 ,35 ,132044 ,9699 ,58139 ,58661 ,5545 
인천,75998 ,3617 ,29346 ,37867 ,5168 ,1011 ,15 ,187 ,775 ,34 ,74987 ,3602 ,29159 ,37092 ,5134 
광주,39987 ,2010 ,15872 ,20225 ,1880 ,509 ,21 ,46 ,432 ,10 ,39478 ,1989 ,15826 ,19793 ,1870 
대전,38190 ,3455 ,11443 ,20421 ,2871 ,489 ,37 ,67 ,371 ,14 ,37701 ,3418 ,11376 ,20050 ,2857 
울산,63510 ,3661 ,12024 ,45124 ,2701 ,502 ,102 ,48 ,340 ,12 ,63008 ,3559 ,11976 ,44784 ,2689 
세종,11439 ,857 ,5291 ,4706 ,585 ,150 ,8 ,11 ,125 ,6 ,11289 ,849 ,5280 ,4581 ,579 
경기,397249 ,18775 ,151605 ,198186 ,28683 ,4939 ,172 ,1005 ,3652 ,110 ,392310 ,18603 ,150600 ,194534 ,28573 
강원,65615 ,5795 ,24286 ,32336 ,3198 ,987 ,54 ,51 ,848 ,34 ,64628 ,5741 ,24235 ,31488 ,3164 
충북,91643 ,7485 ,40546 ,40147 ,3465 ,1192 ,72 ,268 ,817 ,35 ,90451 ,7413 ,40278 ,39330 ,3430 
충남,135468 ,9707 ,64669 ,56309 ,4783 ,1776 ,182 ,409 ,1151 ,34 ,133692 ,9525 ,64260 ,55158 ,4749 
전북,100836 ,7578 ,50145 ,40393 ,2720 ,1380 ,90 ,302 ,965 ,23 ,99456 ,7488 ,49843 ,39428 ,2697 
전남,118636 ,7740 ,59172 ,48945 ,2779 ,2065 ,130 ,597 ,1302 ,36 ,116571 ,7610 ,58575 ,47643 ,2743 
경북,188515 ,16376 ,86076 ,80490 ,5573 ,2101 ,95 ,509 ,1440 ,57 ,186414 ,16281 ,85567 ,79050 ,5516 
경남,164026 ,12224 ,59004 ,86202 ,6596 ,2157 ,145 ,414 ,1564 ,34 ,161869 ,12079 ,58590 ,84638 ,6562 
제주,32638 ,7041 ,10481 ,13730 ,1386 ,518 ,132 ,80 ,283 ,23 ,32120 ,6909 ,10401 ,13447 ,1363 
합계,2238144 ,141469 ,862224 ,1119116 ,115335 ,26970 ,1835 ,5306 ,19135 ,694 ,2211174 ,139634 ,856918 ,1099981 ,114641 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,236,089대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  2,055대",,,,,,,,,,,,,,,
