,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.01,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,448923 ,19695 ,146796 ,252440 ,29992 ,4563 ,305 ,933 ,3171 ,154 ,444360 ,19390 ,145863 ,249269 ,29838 
부산,132506 ,5751 ,37401 ,82240 ,7114 ,1426 ,100 ,179 ,1104 ,43 ,131080 ,5651 ,37222 ,81136 ,7071 
대구,133020 ,9873 ,58371 ,59238 ,5538 ,1247 ,171 ,201 ,841 ,34 ,131773 ,9702 ,58170 ,58397 ,5504 
인천,75808 ,3622 ,29342 ,37762 ,5082 ,1026 ,15 ,187 ,792 ,32 ,74782 ,3607 ,29155 ,36970 ,5050 
광주,39886 ,1982 ,15878 ,20193 ,1833 ,514 ,21 ,46 ,437 ,10 ,39372 ,1961 ,15832 ,19756 ,1823 
대전,38130 ,3470 ,11467 ,20378 ,2815 ,499 ,38 ,67 ,380 ,14 ,37631 ,3432 ,11400 ,19998 ,2801 
울산,63412 ,3679 ,12021 ,45065 ,2647 ,498 ,98 ,48 ,340 ,12 ,62914 ,3581 ,11973 ,44725 ,2635 
세종,11401 ,865 ,5288 ,4678 ,570 ,153 ,8 ,11 ,128 ,6 ,11248 ,857 ,5277 ,4550 ,564 
경기,395810 ,18838 ,151488 ,197289 ,28195 ,4938 ,170 ,1009 ,3650 ,109 ,390872 ,18668 ,150479 ,193639 ,28086 
강원,65580 ,5822 ,24275 ,32327 ,3156 ,992 ,54 ,51 ,853 ,34 ,64588 ,5768 ,24224 ,31474 ,3122 
충북,91675 ,7527 ,40563 ,40172 ,3413 ,1193 ,72 ,268 ,818 ,35 ,90482 ,7455 ,40295 ,39354 ,3378 
충남,135329 ,9735 ,64645 ,56233 ,4716 ,1771 ,180 ,409 ,1147 ,35 ,133558 ,9555 ,64236 ,55086 ,4681 
전북,100887 ,7632 ,50177 ,40397 ,2681 ,1381 ,91 ,303 ,964 ,23 ,99506 ,7541 ,49874 ,39433 ,2658 
전남,118593 ,7777 ,59184 ,48891 ,2741 ,2060 ,128 ,597 ,1299 ,36 ,116533 ,7649 ,58587 ,47592 ,2705 
경북,188585 ,16485 ,86094 ,80503 ,5503 ,2095 ,97 ,507 ,1433 ,58 ,186490 ,16388 ,85587 ,79070 ,5445 
경남,163915 ,12290 ,59023 ,86064 ,6538 ,2172 ,146 ,415 ,1577 ,34 ,161743 ,12144 ,58608 ,84487 ,6504 
제주,32629 ,7068 ,10469 ,13726 ,1366 ,516 ,132 ,80 ,281 ,23 ,32113 ,6936 ,10389 ,13445 ,1343 
합계,2236089 ,142111 ,862482 ,1117596 ,113900 ,27044 ,1826 ,5311 ,19215 ,692 ,2209045 ,140285 ,857171 ,1098381 ,113208 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,236,895대",,,,,,,,,,,,,,,
※전월말 대비증감현황 :  -806대,,,,,,,,,,,,,,,
