,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.09,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,458187 ,20079 ,144852 ,260117 ,33139 ,4515 ,312 ,941 ,3108 ,154 ,453672 ,19767 ,143911 ,257009 ,32985 
부산,135860 ,6299 ,37036 ,84504 ,8021 ,1367 ,146 ,151 ,1027 ,43 ,134493 ,6153 ,36885 ,83477 ,7978 
대구,137001 ,10631 ,58140 ,61940 ,6290 ,1217 ,174 ,197 ,813 ,33 ,135784 ,10457 ,57943 ,61127 ,6257 
인천,79086 ,4071 ,29440 ,39690 ,5885 ,1010 ,13 ,193 ,770 ,34 ,78076 ,4058 ,29247 ,38920 ,5851 
광주,40953 ,2019 ,15896 ,20864 ,2174 ,487 ,22 ,46 ,409 ,10 ,40466 ,1997 ,15850 ,20455 ,2164 
대전,39060 ,3534 ,11400 ,20850 ,3276 ,473 ,33 ,67 ,362 ,11 ,38587 ,3501 ,11333 ,20488 ,3265 
울산,64506 ,3683 ,12015 ,45666 ,3142 ,491 ,99 ,48 ,334 ,10 ,64015 ,3584 ,11967 ,45332 ,3132 
세종,11580 ,791 ,5288 ,4813 ,688 ,120 ,8 ,10 ,98 ,4 ,11460 ,783 ,5278 ,4715 ,684 
경기,414081 ,18931 ,152517 ,209462 ,33171 ,4864 ,167 ,1001 ,3583 ,113 ,409217 ,18764 ,151516 ,205879 ,33058 
강원,66905 ,5613 ,24459 ,33013 ,3820 ,948 ,55 ,51 ,807 ,35 ,65957 ,5558 ,24408 ,32206 ,3785 
충북,92533 ,7079 ,40667 ,40679 ,4108 ,1186 ,73 ,269 ,809 ,35 ,91347 ,7006 ,40398 ,39870 ,4073 
충남,136879 ,9268 ,64778 ,57437 ,5396 ,1760 ,180 ,437 ,1112 ,31 ,135119 ,9088 ,64341 ,56325 ,5365 
전북,100723 ,7129 ,50048 ,40507 ,3039 ,1356 ,90 ,301 ,940 ,25 ,99367 ,7039 ,49747 ,39567 ,3014 
전남,119100 ,7663 ,59218 ,49118 ,3101 ,2045 ,130 ,599 ,1280 ,36 ,117055 ,7533 ,58619 ,47838 ,3065 
경북,189023 ,15404 ,86126 ,81163 ,6330 ,2069 ,84 ,504 ,1422 ,59 ,186954 ,15320 ,85622 ,79741 ,6271 
경남,165483 ,11500 ,58915 ,87457 ,7611 ,2133 ,148 ,408 ,1542 ,35 ,163350 ,11352 ,58507 ,85915 ,7576 
제주,33298 ,7067 ,10603 ,14085 ,1543 ,509 ,134 ,76 ,275 ,24 ,32789 ,6933 ,10527 ,13810 ,1519 
합계,2284258 ,140761 ,861398 ,1151365 ,130734 ,26550 ,1868 ,5299 ,18691 ,692 ,2257708 ,138893 ,856099 ,1132674 ,130042 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,274,211대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  10,047대",,,,,,,,,,,,,,,
