,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.04,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,450752 ,19924 ,145663 ,254016 ,31149 ,4648 ,366 ,937 ,3194 ,151 ,446104 ,19558 ,144726 ,250822 ,30998 
부산,133685 ,6097 ,37217 ,82897 ,7474 ,1398 ,108 ,151 ,1097 ,42 ,132287 ,5989 ,37066 ,81800 ,7432 
대구,134568 ,10042 ,58232 ,60449 ,5845 ,1241 ,176 ,202 ,827 ,36 ,133327 ,9866 ,58030 ,59622 ,5809 
인천,76851 ,3714 ,29356 ,38375 ,5406 ,1014 ,13 ,190 ,775 ,36 ,75837 ,3701 ,29166 ,37600 ,5370 
광주,40266 ,2009 ,15869 ,20411 ,1977 ,498 ,21 ,46 ,421 ,10 ,39768 ,1988 ,15823 ,19990 ,1967 
대전,38568 ,3516 ,11439 ,20576 ,3037 ,481 ,35 ,67 ,366 ,13 ,38087 ,3481 ,11372 ,20210 ,3024 
울산,63938 ,3764 ,11994 ,45299 ,2881 ,496 ,102 ,48 ,336 ,10 ,63442 ,3662 ,11946 ,44963 ,2871 
세종,11479 ,836 ,5277 ,4751 ,615 ,125 ,8 ,11 ,100 ,6 ,11354 ,828 ,5266 ,4651 ,609 
경기,403007 ,19216 ,151824 ,201706 ,30261 ,4944 ,172 ,1004 ,3659 ,109 ,398063 ,19044 ,150820 ,198047 ,30152 
강원,66084 ,5780 ,24350 ,32554 ,3400 ,978 ,53 ,51 ,841 ,33 ,65106 ,5727 ,24299 ,31713 ,3367 
충북,91993 ,7406 ,40587 ,40323 ,3677 ,1198 ,77 ,269 ,817 ,35 ,90795 ,7329 ,40318 ,39506 ,3642 
충남,136019 ,9693 ,64686 ,56622 ,5018 ,1759 ,183 ,408 ,1132 ,36 ,134260 ,9510 ,64278 ,55490 ,4982 
전북,100885 ,7479 ,50137 ,40401 ,2868 ,1375 ,89 ,302 ,960 ,24 ,99510 ,7390 ,49835 ,39441 ,2844 
전남,118776 ,7794 ,59151 ,48964 ,2867 ,2054 ,129 ,598 ,1291 ,36 ,116722 ,7665 ,58553 ,47673 ,2831 
경북,188942 ,16166 ,86074 ,80911 ,5791 ,2116 ,95 ,511 ,1452 ,58 ,186826 ,16071 ,85563 ,79459 ,5733 
경남,164770 ,12141 ,58972 ,86672 ,6985 ,2159 ,146 ,412 ,1566 ,35 ,162611 ,11995 ,58560 ,85106 ,6950 
제주,32858 ,7031 ,10480 ,13899 ,1448 ,511 ,134 ,77 ,277 ,23 ,32347 ,6897 ,10403 ,13622 ,1425 
합계,2253441 ,142608 ,861308 ,1128826 ,120699 ,26995 ,1907 ,5284 ,19111 ,693 ,2226446 ,140701 ,856024 ,1109715 ,120006 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,245,292대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  8,149대",,,,,,,,,,,,,,,
