,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.05,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,452142 ,20361 ,145418 ,254790 ,31573 ,4585 ,307 ,926 ,3200 ,152 ,447557 ,20054 ,144492 ,251590 ,31421 
부산,134358 ,6345 ,37204 ,83189 ,7620 ,1445 ,156 ,151 ,1096 ,42 ,132913 ,6189 ,37053 ,82093 ,7578 
대구,134913 ,10207 ,58131 ,60611 ,5964 ,1241 ,178 ,198 ,829 ,36 ,133672 ,10029 ,57933 ,59782 ,5928 
인천,77168 ,3839 ,29361 ,38438 ,5530 ,1010 ,13 ,190 ,770 ,37 ,76158 ,3826 ,29171 ,37668 ,5493 
광주,40414 ,2000 ,15884 ,20501 ,2029 ,496 ,21 ,46 ,419 ,10 ,39918 ,1979 ,15838 ,20082 ,2019 
대전,38709 ,3584 ,11424 ,20635 ,3066 ,483 ,34 ,68 ,369 ,12 ,38226 ,3550 ,11356 ,20266 ,3054 
울산,64053 ,3761 ,11982 ,45372 ,2938 ,498 ,104 ,48 ,336 ,10 ,63555 ,3657 ,11934 ,45036 ,2928 
세종,11481 ,821 ,5266 ,4775 ,619 ,123 ,8 ,11 ,100 ,4 ,11358 ,813 ,5255 ,4675 ,615 
경기,405205 ,19328 ,151941 ,202969 ,30967 ,4929 ,166 ,1003 ,3650 ,110 ,400276 ,19162 ,150938 ,199319 ,30857 
강원,66289 ,5795 ,24363 ,32667 ,3464 ,983 ,54 ,51 ,842 ,36 ,65306 ,5741 ,24312 ,31825 ,3428 
충북,92163 ,7356 ,40608 ,40435 ,3764 ,1197 ,76 ,269 ,817 ,35 ,90966 ,7280 ,40339 ,39618 ,3729 
충남,136167 ,9672 ,64728 ,56665 ,5102 ,1761 ,183 ,411 ,1132 ,35 ,134406 ,9489 ,64317 ,55533 ,5067 
전북,100849 ,7452 ,50088 ,40401 ,2908 ,1377 ,93 ,302 ,958 ,24 ,99472 ,7359 ,49786 ,39443 ,2884 
전남,118892 ,7815 ,59143 ,48988 ,2946 ,2045 ,129 ,596 ,1284 ,36 ,116847 ,7686 ,58547 ,47704 ,2910 
경북,188928 ,16066 ,86090 ,80911 ,5861 ,2104 ,91 ,504 ,1451 ,58 ,186824 ,15975 ,85586 ,79460 ,5803 
경남,164858 ,12007 ,58928 ,86791 ,7132 ,2148 ,144 ,406 ,1563 ,35 ,162710 ,11863 ,58522 ,85228 ,7097 
제주,32893 ,7039 ,10478 ,13906 ,1470 ,508 ,133 ,76 ,276 ,23 ,32385 ,6906 ,10402 ,13630 ,1447 
합계,2259482 ,143448 ,861037 ,1132044 ,122953 ,26933 ,1890 ,5256 ,19092 ,695 ,2232549 ,141558 ,855781 ,1112952 ,122258 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,253,441대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  6,041대",,,,,,,,,,,,,,,
